Name,SKU,Price,_weight,Description,Featured,Categories,Image
Rock Defense Tacoma Single Case Crossmember,120198-1-K,269,60,"part# 120198-1-K
 
 <a name=""tacomacrossmember""></a>Our Rock Defense? Tacoma Single T-Case Crossmember fits 95-04 single t-case, automatic and manual transmissions, and uses your stock t-case mount. The kit can be mounted either by drilling the frame and bolting the crossmember in, or simply welding the crossmember mounting brackets to the frame and bolting the crossmember to the mounting brackets. The crossmember comes with grade 8 hardware and top locking nuts and is made from 3/8"" thick 1010 steel so you have confidence that your t case is supported and covered when you are sliding over even the nastiest rocks. Shipped raw, unpainted.",No,Transmission/Transfer Case|Crossmembers|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/taco-xmember.jpg
Toyota Transfer Case Mount,105003-1,155,5,"part# 105003-1
 
 Stock V6 Toyota replacement transfer case mount. This mount features a larger mounting surface than 4Cyl units. Can be used as stock replacement on 4cyl units on applications from 1982 -1995. Can be used with our crossmember above on all 1979-1995 applications.",No,Transmission/Transfer Case|Crossmembers|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/tcase-mount.jpg
TGHD Heavy Duty Toyota T-Case Mount,105089-1-K,75,5,"part# 105089-1-K
 
 Finally a Toyota T case mount that can handle the abuse of rock crawling with the ultra low torque of dual cases is here.
 
 The TGHD T Case mount kit will totally eliminate any worries of a broken T case mount on the trail, or on the comp site. We are so confident in this product that we are offering it with our world famous Lifetime No Questions Ask Warranty.
 
 The TGHD T case mount is stamped out of 1/4"" thick steel plate, and then welded on a jig to ensure the best fit possible.
 
 These T case mount kits are coated with black zinc for a trick finish that will last a lifetime.
 
 The bushings are polyurethane for long lasting performance and durability.
 
 Can be used as a stock replacement on 4cyl T cases for applications from 1982-1995, or with our dual case crossmember and other popular dual case crossmembers on all 1979-1995 applications.
 
 <strong>Note:</strong> This product may cause more vibration at high speed driving than the OEM rubber mount.",No,Transmission/Transfer Case|Crossmembers|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/hdtcase.jpg
87-95 Toyota V-6 Dual Case Crossmember,120014-1-K,209,60,"part# 120014-1-K
 
 If you have dual transfer cases on your Toyota Pickup or 4Runner you will want to protect them from trail damage with a crossmember that can take serious trail punishment. Trail-Gear's crossmembers are precision laser cut with slotted mounting holes for easy bolt on installation.† Made from 3/8"" thick plate steel with black powdercoat finish. Includes tapered bolts for a smooth bottom. Fits 1979-1995 Toyota Pickup and 4Runner with 4 or 5 speed manual transmission and dual transfer case. Not intended for auto transmission applications.
 
 Some minor scratching of the powder coating may occur during shipping and handling.",No,Transmission/Transfer Case|Crossmembers|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/crossmember-inst.jpg|http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/crossmember-6002.jpg
84-95 Toyota 4cyl Dual Case Crossmember,120005-1-K,209,60,"part# 120005-1-K
 
 If you have dual transfer cases on your Toyota Pickup or 4Runner you will want to protect them from trail damage with a crossmember that can take serious trail punishment. Trail-Gear's crossmembers are precision laser cut with slotted mounting holes for easy bolt on installation.† Made from 3/8"" thick plate steel with black powdercoat finish. Includes tapered bolts for a smooth bottom. Fits 1979-1995 Toyota Pickup and 4Runner with 4 or 5 speed manual transmission and dual transfer case. Not intended for auto transmission applications.
 
 Some minor scratching of the powder coating may occur during shipping and handling.",No,Transmission/Transfer Case|Crossmembers|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/crossmember-6001.jpg
Toyota Dual Case Crossmember 79-83,120004-1-K,209,60,"part# 120004-1-K
 
 If you have dual transfer cases on your Toyota Pickup or 4Runner you will want to protect them from trail damage with a crossmember that can take serious trail punishment. Trail-Gear's crossmembers are precision laser cut with slotted mounting holes for easy bolt on installation.† Made from 3/8"" thick plate steel with black powdercoat finish. Includes tapered bolts for a smooth bottom. Fits 1979-1995 Toyota Pickup and 4Runner with 4 or 5 speed manual transmission and dual transfer case. Not intended for auto transmission applications.
 
 Some minor scratching of the powder coating may occur during shipping and handling.",No,Transmission/Transfer Case|Crossmembers|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/crossmember-600.jpg
Twin Stick Shift Boot,107510-1-K,20,1,"part#††107510-1-K
 
 This boot is designed to work with our Creepy Twin T-Case shifter. It features a flexible rubber shell with a steel bottom plate for mounting to your floor board.† Keep engine heat and smell out of the cab.",No,Transmission/Transfer Case|Shifters|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/shift-boot.jpg
Creepy Twin Twin Stick Shifter For Toyota Forward Shifter,107507-1-K,159,4,"part# 107507-1-K
 
 Twin stick shifters allow independent control of the high/low and 2wd/4wd sections of your Toyota gear driven transfer case. This allows access to low range 2wd operation. It also allows you to shift in and out of 4wd while driving on the trail without the need to stop. Access to 2wd low range allows easier steering and less driveline binding when you are traveling between obstacles on the trail.
 
 Twin shifters come fully assembled and ready to install. Before installing the Creepy Twin shifter, it is necessary to remove the interlock pin from the transfer case to allow independent operation of the shift rails. Once the pin has been removed, the Twin Shifter can be bolted on to the top of the transfer case.
 
 Shifter bases are made from polished cast aluminum. Shifter keys are made from heat treated 1020 steel. The internal cross pin is made from heat treated chromolly steel.
 
 A splash resistant oil breather is installed on the top of the shifter to reduce oil loss in a roll over while still allowing the transfer case to vent as needed. Each lever is sealed with an o-ring for long, trouble free operation.
 
 Twin Stick shifters are shipped with one 4.70 and one 2wd/4wd shift knob. The 4.70 knob may be substituted for a 2.28 knob upon request. (talk to your sales person or make a note in the notes section if ordering online). A new cork shifter gasket is included with the kit. Reuse stock shifter base mounting bolt to attach to transfer case.
 
 Twin stick shifters will NOT work with the following:
 <ul>
 	<li>W56 C or D model transmissions with a single transfer case</li>
 	<li>Stock chain driven V6 transfer case</li>
 	<li>Rotated dual case adapters</li>
 	<li>Single transfer case applications with combined tranny and t-case shifter base</li>
 </ul>
 Twin stick shifters WILL work with the following gear-driven pickup cases:
 <ul>
 	<li>All Top shift style transfer cases in single or dual configuration</li>
 	<li>All rear transfer cases in dual crawler configurations</li>
 	<li>All Turbo transmissions in single or dual configurations</li>
 	<li>Single transfer case applications with separate transfer case shifter base</li>
 </ul>",No,Transmission/Transfer Case|Shifters|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/creepy-twin1.jpg
Creepy Twin Twin Stick Shifter For Toyota Top Shift,107500-1-K,159,3,"part# 107500-1-K
 
 Twin stick shifters allow independent control of the high/low and 2wd/4wd sections of your Toyota gear driven transfer case. This allows access to low range 2wd operation. It also allows you to shift in and out of 4wd while driving on the trail without the need to stop. Access to 2wd low range allows easier steering and less driveline binding when you are traveling between obstacles on the trail.
 
 Twin shifters come fully assembled and ready to install. Before installing the Creepy Twin shifter, it is necessary to remove the interlock pin from the transfer case to allow independent operation of the shift rails. Once the pin has been removed, the Twin Shifter can be bolted on to the top of the transfer case.
 
 Shifter bases are made from polished cast aluminum. Shifter keys are made from heat treated 1020 steel. The internal cross pin is made from heat treated chromolly steel.
 
 A splash resistant oil breather is installed on the top of the shifter to reduce oil loss in a roll over while still allowing the transfer case to vent as needed. Each lever is sealed with an o-ring for long, trouble free operation.
 
 Twin Stick shifters are shipped with one 4.70 and one 2wd/4wd shift knob. The 4.70 knob may be substituted for a 2.28 knob upon request. (talk to your sales person or make a note in the notes section if ordering online). A new cork shifter gasket is included with the kit. Reuse stock shifter base mounting bolt to attach to transfer case.
 
 Twin stick shifters will NOT work with the following:
 <ul>
 	<li>W56 C or D model transmissions with a single transfer case</li>
 	<li>Stock chain driven V6 transfer case</li>
 	<li>Rotated dual case adapters</li>
 	<li>Single transfer case applications with combined tranny and t-case shifter base</li>
 </ul>
 Twin stick shifters WILL work with the following gear-driven pickup cases:
 <ul>
 	<li>All Top shift style transfer cases in single or dual configuration</li>
 	<li>All rear transfer cases in dual crawler configurations</li>
 	<li>All Turbo transmissions in single or dual configurations</li>
 	<li>Single transfer case applications with separate transfer case shifter base</li>
 </ul>",No,Transmission/Transfer Case|Shifters|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/creepy-twin.jpg
"6"" Speedometer Extension Cable For Toyota ", 100063-1,27,2,"part#††100063-1
 
 <a name=""speedo""></a>When installing a dual adapter, the position of the speedo output moves back about 6.5"" from stock. We recommend using a speedo extension when connecting mechanical speedometer cables to a dual adapter.",No,Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/speedo-extension.jpg
Toyota Transmission/Transfer Case Block Off Plate,100078-1,6,1,"part# 100078-1
 
 Used to block off unused shifter openings in transfer case and transmission.",No,Transmission/Transfer Case|Shifters|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/block-off-plates1.jpg
Toyota Transmission/ Transfer Case Block Off Plates,100079-1,6,1,"part# 100079-1
 
 Used to block off unused shifter openings in transfer case and transmission.",No,Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/block-off-plates.jpg
23 Spline Toyota Dual Case Adapter,100006-1-K,310,17,"part# 100006-1-K
 
 Trail-Gear now offers its own dual transfer case kit for Toyota Pickup and 4Runner applications. Matt Messer has produced thousands of doublers for other off-road companies and over the years has looked at how to improve the quality and price. The result of that effort is the Trail-Creeper? dual adapter.
 
 Trail-Gear believes that you won't find a better, more reliable product anywhere, at any price. We have greatly increased the oiling flow in and around the adapter for cooler operation. We have increased the strength of the casting by making thicker walls and creating huge oversized gussets. A special retainer ring securely stabilizes the main bearing to prevent bearing play. Other adapters in the market only use a light gauge snap ring to hold the bearing in place. Tight tolerances on the coupler ensure long life and prevent striped out input gears.
 
 Installation requires an additional top shifting Toyota gear-driven transfer case, drive shaft modifications, and floorboard modifications. Assembled dual adapter unit is 6.5"" long. In stock and ready to ship.
 
 Kit Includes:
 <ul>
 	<li>Heavy duty aluminum adapter plate</li>
 	<li>Heavy duty coupler</li>
 	<li>Cage &amp; main bearings installed</li>
 	<li>Replacement transmission output seal</li>
 	<li>Magnetic drain plug</li>
 	<li>Shift knob</li>
 	<li>Mounting hardware</li>
 	<li>Transfer case and transmission block off plates</li>
 </ul>",No,Transmission/Transfer Case|Adapters|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/dualadapter-2251.jpg
21 Spline Toyota Dual Case Adapter,100001-1-K,310,17,"part# 100001-1-K
 
 Trail-Gear now offers its own dual transfer case kit for Toyota Pickup and 4Runner applications. Matt Messer has produced thousands of doublers for other off-road companies and over the years has looked at how to improve the quality and price. The result of that effort is the Trail-Creeper? dual adapter.
 
 Trail-Gear believes that you won't find a better, more reliable product anywhere, at any price. We have greatly increased the oiling flow in and around the adapter for cooler operation. We have increased the strength of the casting by making thicker walls and creating huge oversized gussets. A special retainer ring securely stabilizes the main bearing to prevent bearing play. Other adapters in the market only use a light gauge snap ring to hold the bearing in place. Tight tolerances on the coupler ensure long life and prevent striped out input gears.
 
 Installation requires an additional top shifting Toyota gear-driven transfer case, drive shaft modifications, and floorboard modifications. Assembled dual adapter unit is 6.5"" long. In stock and ready to ship.
 
 Kit Includes:
 <ul>
 	<li>Heavy duty aluminum adapter plate</li>
 	<li>Heavy duty coupler</li>
 	<li>Cage &amp; main bearings installed</li>
 	<li>Replacement transmission output seal</li>
 	<li>Magnetic drain plug</li>
 	<li>Shift knob</li>
 	<li>Mounting hardware</li>
 	<li>Transfer case and transmission block off plates</li>
 </ul>",No,Transmission/Transfer Case|Adapters|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/dualadapter-225.jpg
3.0 Toyota V-6 Adapter Plate For Gear Driven Case,100086-1-K,310,10,"part# 100086-1-K
 
 This adapter plate allows one or more gear driven transfer case(s) to be bolted up to 1988-1995 Toyota 3.0L V6 5 speed transmissions. Our updated design does not require modification to the transmission for installation thanks to the use of countersunk mounting hardware. Another exclusive feature is the use of all nine transmission mounting bolts on both single and dual case installations.
 
 With our V6 adapter plate you can install the legendary Toyota gear driven transfer case(s) in your trail rig. These cases are known for their strength, reliability and configuration flexibility. With the correct adapter plate you can put one, two or even three transfer cases into your truck. Each case can have stock 2.28 gears or 4.70 low range gears installed.
 
 Extensive vehicle modifications are required for installation including: retubing both front and rear drive shafts, additional floorboard hole for the second transfer case shifter, speedometer cable extension, and crossmember replacement.
 
 <strong>Note:</strong> One top shift case will be needed to perform this conversion, for duals, both cases need to be top shift. Also required is one 23 spline input gear",No,Transmission/Transfer Case|Adapters|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/v-6-adapter.jpg
Toyota 2.28 Gear Set ,100127-1-K,299,16,"part# 100127-1-K
 
 <a name=""228""></a>With low geared rock crawling and high speed rock racing, we have seen many failures from the OEM 2.28 stock gears. Many of these failures could have been avoided by simply replacing the 30 year old OEM gears and bearings. Traditionally, no one except Toyota sold the replacement parts. Purchasing them from Toyota is just not affordable, and they are not always in stock. Trail-Gear has fired up the gear cutting machine and is now proudly offering the industry's first aftermarket 2.28 replacement transfer case gears.
 
 These gears will not only breathe new life into your 30-year-old transfer case, but they will also give you confidence while driving through even the most difficult of obstacles.",No,Transmission/Transfer Case|Low Gear Sets|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/2.28.jpg
Toyota 23 Spline Input Gear,100011-1,139,6,"part# 100011-1
 
 If your installing a dual transfer case on a turbo or V6 and you wish to use a 2.28 gear set in the front case, you will need to use this 23 spline 2.28 t-case input gear. For use on gear-driven, 4cyl transfer case assemblies.",No,Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/23-spline-gear.jpg
Toyota 23 Spline 4.7 Kit From Trail-Gear,105001-1-K,450,16,"part# 105001-1-K
 
 For rock crawling, lower transfer case gears give you the control you need to keep your truck on track. Trail-Gear offers an affordable 4.70:1 gear kit for your gear driven Toyota transfer case. Trail-Creeper T-Case gears are available in 21 and 23 spline configurations. Kits include replacement gears, gaskets and seals. Disassembly and modification of transfer case is required for installation. Input gears are precision ground &amp; micro-polished to guarantee the removal of all surface imperfections in the forging.
 
 Trail-Creeper gears fit Toyota 4WD Pickup's and 4Runners from 1979-1995 with gear drive style transfer cases. Gear sets reduce the stock low range from 2.28 to 4.70, nearly twice the the reduction of the stock gears. High range is not affected and remains 1 to 1. Each gear set carries a full lifetime guarantee. If your gears ever fail to function properly, simply return them to us for replacement.
 
 V6 applications require the transfer case be replaced with a 4Cyl gear drive unit and V6 Adapter plate. Speedo cable, floorboard, drive shaft, and crossmember changes may also be required.",No,Transmission/Transfer Case|Low Gear Sets|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/470gear-2251.jpg
Toyota 21 Spline 4.7 Kit From Trail-Gear,105000-1-K,450,16,"part# 105000-1-K
 
 For rock crawling, lower transfer case gears give you the control you need to keep your truck on track. Trail-Gear offers an affordable 4.70:1 gear kit for your gear driven Toyota transfer case. Trail-Creeper T-Case gears are available in 21 and 23 spline configurations. Kits include replacement gears, gaskets and seals. Disassembly and modification of transfer case is required for installation. Input gears are precision ground &amp; micro-polished to guarantee the removal of all surface imperfections in the forging.
 
 Trail-Creeper gears fit Toyota 4WD Pickup's and 4Runners from 1979-1995 with gear drive style transfer cases. Gear sets reduce the stock low range from 2.28 to 4.70, nearly twice the the reduction of the stock gears. High range is not affected and remains 1 to 1. Each gear set carries a full lifetime guarantee. If your gears ever fail to function properly, simply return them to us for replacement.
 
 V6 applications require the transfer case be replaced with a 4Cyl gear drive unit and V6 Adapter plate. Speedo cable, floorboard, drive shaft, and crossmember changes may also be required.",No,Transmission/Transfer Case|Low Gear Sets|Vehicle Brands|Toyota|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/470gear-225.jpg
16x10 8on6.5 Raceline Soft 8 Style Steel Beadlock,RT8160080,269,45,"part# <span style=""font-family: Myriad-Roman; font-size: xx-small;""><span style=""font-family: Myriad-Roman; font-size: xx-small;"">RT8160080</span></span>
 
 <span style=""font-family: Myriad-Roman; font-size: xx-small;""><span style=""font-family: Myriad-Roman; font-size: xx-small;"">16x10,8/6.5, soft 8 black beadlock with a 3.75"" backspace, custom backspacing is available upon request for an extra fee..</span></span>
 
 <span style=""font-family: Myriad-Roman; font-size: xx-small;""><span style=""font-family: Myriad-Roman; font-size: xx-small;"">†</span></span>",No,Wheels|Beadlocks|Wheels,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/allied-soft-8-beadlock17.jpg
16x10 6on5.5 Raceline Soft 8 Style Steel Beadlock,RT8160060,269,45,"part# <span style=""font-family: Myriad-Roman; font-size: xx-small;""><span style=""font-family: Myriad-Roman; font-size: xx-small;"">RT8160060</span></span>
 
 <span style=""font-family: Myriad-Roman; font-size: xx-small;""><span style=""font-family: Myriad-Roman; font-size: xx-small;"">16x10,6/5.5, soft 8 black beadlock with 3.75"" backspacing, custom backspacing is available upon request.</span></span>
 
 <span style=""font-family: Myriad-Roman; font-size: xx-small;""><span style=""font-family: Myriad-Roman; font-size: xx-small;"">†</span></span>",No,Wheels|Beadlocks|Wheels,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/allied-soft-8-beadlock16.jpg
16x10 5on5.5 Raceline Soft 8 Steel Beadlock,RT8160055,269,45,"part# <span style=""font-family: Myriad-Roman; font-size: xx-small;""><span style=""font-family: Myriad-Roman; font-size: xx-small;"">RT8160055</span></span>
 
 <span style=""font-family: Myriad-Roman; font-size: xx-small;""><span style=""font-family: Myriad-Roman; font-size: xx-small;"">16x10, 5/5.5, soft 8 black beadlock with 3.75"" backspace, custom backspacing available upon request at an extra fee.</span></span>
 
 <span style=""font-family: Myriad-Roman; font-size: xx-small;""><span style=""font-family: Myriad-Roman; font-size: xx-small;"">†</span></span>",No,Wheels|Beadlocks|Wheels,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/allied-soft-8-beadlock15.jpg
